Detected Text,Timestamp
BI18D2025,2024-07-16 23:43:49.310
PB11PD2025,2024-07-16 23:43:52.166
BI18D2025,2024-07-16 23:46:50.607
PB11PD2025,2024-07-16 23:46:53.408
PB11HD2025,2024-07-16 23:48:37.813
PB11BD2025,2024-07-16 23:48:40.682
PB11ED2025,2024-07-16 23:48:42.246
II18O2025,2024-07-16 23:48:47.935
PB11PD2025,2024-07-16 23:48:53.414
PB11B0202,2024-07-16 23:48:53.588
PE11BD2025,2024-07-16 23:48:53.928
PB11PD2025,2024-07-16 23:48:54.081
II80Z0254,2024-07-16 23:49:54.629
PB11PD2025,2024-07-16 23:49:54.935
PB11BD2025,2024-07-16 23:49:55.381
PB11PD2025,2024-07-16 23:50:00.185
PB11BD2025,2024-07-16 23:51:33.286
PB11BD2025,2024-07-16 23:51:39.869
PB11BD2025,2024-07-16 23:53:30.799
PB11BD2025,2024-07-16 23:56:06.930
BI18D2025,2024-07-17 10:27:51.770
PB11PD2025,2024-07-17 10:27:54.623
PB11BD2025,2024-07-17 10:28:50.890
PB11BD2025,2024-07-17 10:28:56.868
PB11BD2025,2024-07-17 10:32:34.192
PB11PD2025,2024-07-17 10:32:39.581
PB11BD2025,2024-07-17 10:32:40.630
PB11PD2025,2024-07-17 10:32:41.209
PB11BD2025,2024-07-17 11:34:53.226
PB11BD2025,2024-07-17 11:58:38.211
PB11BD2025,2024-08-05 16:26:35.166
PB11BD2025,2024-08-06 09:23:10.197
PB11BD2025,2024-08-06 11:00:26.313
PB11PD2025,2024-08-06 11:00:33.008
PB11BD2025,2024-08-06 11:00:34.244
PB11PD2025,2024-08-06 11:00:35.019
PB11BD2025,2024-08-06 11:05:04.766
PB11PD2025,2024-08-06 11:05:10.297
PB11BD2025,2024-08-06 11:05:11.505
PB11PD2025,2024-08-06 11:05:12.062
PB11BD2025,2024-08-15 23:11:22.805
PB11PD2025,2024-08-15 23:11:27.783
PB11BD2025,2024-08-15 23:11:28.731
PB11PD2025,2024-08-15 23:11:29.282
